"","AaronPressman","AlanCrosby","AlexanderSmith","BenjaminKangLim","BernardHickey","BradDorfman","DarrenSchuettler","DavidLawder","EdnaFernandes","EricAuchard","FumikoFujisaki","GrahamEarnshaw","HeatherScoffield","JaneMacartney","JanLopatka","JimGilchrist","JoeOrtiz","JohnMastrini","JonathanBirt","JoWinterbottom","KarlPenhaul","KeithWeir","KevinDrawbaugh","KevinMorrison","KirstinRidley","KouroshKarimkhany","LydiaZajc","LynneO'Donnell","LynnleyBrowning","MarcelMichelson","MarkBendeich","MartinWolk","MatthewBunce","MichaelConnor","MureDickie","NickLouth","PatriciaCommins","PeterHumphrey","PierreTran","RobinSidel","RogerFillion","SamuelPerry","SarahDavison","ScottHillis","SimonCowell","TanEeLyn","TheresePoletti","TimFarrand","ToddNissen","WilliamKazer","Sum"
"KeithWeir",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47
"KevinDrawbaugh",0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,49
"KevinMorrison",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"KirstinRidley",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,34,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,41
"KouroshKarimkhany",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,47
"LydiaZajc",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"LynneO'Donnell",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,51
"LynnleyBrowning",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,53
"MarcelMichelson",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,57
"MarkBendeich",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
"MartinWolk",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,43
